Age,Income,Credit_Score,Occupation,Spending_Score,EMI_Burden,Loan_Eligible,CreditCard_Eligible
37,45587,899,Freelancer,90,0.24,0,1
41,65603,580,Student,96,0.12,0,0
47,136703,832,Freelancer,84,0.47,0,0
25,41401,435,Bank Employee,63,0.45,0,0
42,80352,333,Business Owner,97,0.19,0,0
53,102665,590,Driver,55,0.06,0,0
22,26705,581,Doctor,89,0.06,0,0
55,100586,781,Driver,80,0.29,1,1
39,91699,802,Driver,20,0.42,0,0
47,64331,736,Student,69,0.2,1,1
56,84716,724,Sales Executive,45,0.35,0,1
59,68090,692,Student,17,0.44,0,0
22,65011,463,Sales Executive,36,0.34,0,0
38,48386,735,Teacher,53,0.05,0,1
43,107192,406,Bank Employee,36,0.3,0,0
46,78418,741,Business Owner,55,0.13,1,1
31,128515,821,Sales Executive,80,0.41,0,0
21,122319,457,Business Owner,56,0.24,0,0
56,143037,527,Student,12,0.25,0,0
40,46183,516,Teacher,55,0.19,0,0
51,44849,630,IT Engineer,15,0.15,0,0
28,135213,714,Sales Executive,68,0.12,1,1
44,87480,887,Business Owner,27,0.23,1,1
40,142067,452,Business Owner,74,0.29,0,0
35,92006,722,Driver,12,0.46,0,0
50,102509,355,Driver,76,0.23,0,0
40,131986,760,Freelancer,30,0.19,1,1
58,64381,457,Student,11,0.42,0,0
22,45401,558,Freelancer,82,0.36,0,0
26,31223,842,Doctor,20,0.1,0,0
38,52843,427,Driver,49,0.37,0,0
56,92480,512,IT Engineer,20,0.48,0,0
34,42440,345,Shopkeeper,23,0.27,0,0
46,91296,440,Student,10,0.27,0,0
54,38312,753,Freelancer,50,0.38,0,0
50,83958,438,Doctor,30,0.14,0,0
27,122407,879,Bank Employee,91,0.22,1,1
50,59960,541,Bank Employee,28,0.19,0,0
38,31570,705,Doctor,65,0.5,0,0
42,142177,653,Shopkeeper,53,0.12,1,1
37,28218,777,IT Engineer,81,0.13,0,0
51,57309,368,Doctor,14,0.26,0,0
37,42777,586,Business Owner,66,0.17,0,0
51,29434,714,Bank Employee,73,0.44,0,0
33,60411,642,IT Engineer,54,0.25,1,0
47,28840,814,Sales Executive,84,0.36,0,0
40,95870,462,Student,92,0.42,0,0
37,141367,640,Teacher,10,0.17,1,0
49,26687,871,Freelancer,10,0.38,0,0
59,40059,821,Teacher,28,0.23,0,1
55,103798,550,Doctor,71,0.16,0,0
28,76391,759,Business Owner,85,0.45,0,0
58,146529,439,Bank Employee,35,0.3,0,0
35,39999,897,Bank Employee,22,0.27,0,0
21,117089,770,Teacher,94,0.13,1,1
53,129548,898,Freelancer,67,0.46,0,0
23,30055,711,Freelancer,10,0.34,0,0
59,47696,696,Bank Employee,57,0.48,0,0
58,106056,398,Student,85,0.07,0,0
35,93831,784,Bank Employee,59,0.1,1,1
38,30561,855,Doctor,26,0.44,0,0
58,144676,337,Driver,98,0.25,0,0
51,143455,505,Student,46,0.26,0,0
40,136454,602,Doctor,35,0.15,1,0
27,33974,819,Bank Employee,85,0.27,0,0
57,70888,819,Doctor,49,0.25,1,1
47,59672,646,Bank Employee,22,0.37,0,0
28,83763,886,Business Owner,93,0.34,1,1
34,48714,358,Student,56,0.41,0,0
35,39884,828,Shopkeeper,50,0.4,0,0
27,128663,677,Doctor,58,0.24,1,1
53,105413,713,Bank Employee,38,0.19,1,1
54,60545,785,IT Engineer,72,0.2,1,1
24,119218,868,IT Engineer,41,0.5,0,0
21,142691,675,Bank Employee,42,0.23,1,1
34,28871,437,Business Owner,15,0.39,0,0
51,36657,421,Business Owner,88,0.09,0,0
58,92707,546,IT Engineer,13,0.24,0,0
40,58965,811,Sales Executive,60,0.2,1,1
23,73661,708,Shopkeeper,24,0.12,1,1
55,41200,441,Teacher,56,0.06,0,0
53,34333,480,Doctor,93,0.16,0,0
35,81374,572,Teacher,27,0.41,0,0
23,90528,662,Freelancer,48,0.18,1,1
48,103266,621,Doctor,83,0.44,0,0
47,86725,648,Doctor,12,0.31,1,0
53,84060,384,Doctor,34,0.41,0,0
39,39168,603,Shopkeeper,62,0.5,0,0
53,50364,424,Sales Executive,57,0.34,0,0
51,46329,746,Teacher,94,0.2,0,1
24,112827,607,Bank Employee,24,0.19,1,0
52,95642,371,Sales Executive,13,0.49,0,0
48,36495,655,Doctor,36,0.37,0,0
36,26487,736,Sales Executive,20,0.28,0,0
48,118552,774,Sales Executive,34,0.15,1,1
35,26190,582,IT Engineer,67,0.27,0,0
42,81098,356,Driver,39,0.39,0,0
51,36629,488,Freelancer,44,0.49,0,0
41,33759,567,Shopkeeper,22,0.35,0,0
52,81285,625,Sales Executive,53,0.06,1,0
27,81691,470,Student,34,0.26,0,0
53,62814,451,Driver,15,0.42,0,0
28,47452,400,Sales Executive,83,0.28,0,0
34,43607,868,Shopkeeper,60,0.2,0,1
45,57322,324,Student,29,0.44,0,0
52,31070,474,Doctor,25,0.31,0,0
48,42695,433,Driver,65,0.28,0,0
22,69857,714,Business Owner,80,0.27,1,1
37,34549,411,Freelancer,76,0.36,0,0
47,136833,508,Teacher,49,0.25,0,0
22,59116,421,Teacher,63,0.31,0,0
28,98755,716,Freelancer,41,0.18,1,1
58,117999,621,Teacher,49,0.13,1,0
40,56340,416,Business Owner,13,0.42,0,0
57,86167,787,IT Engineer,24,0.19,1,1
41,58248,685,Freelancer,54,0.11,1,1
46,145547,728,Driver,92,0.13,1,1
51,63715,517,Doctor,78,0.24,0,0
40,103604,680,Sales Executive,13,0.18,1,1
26,144251,823,Sales Executive,56,0.36,0,1
35,75449,884,Driver,40,0.21,1,1
21,93530,303,Shopkeeper,60,0.31,0,0
46,36219,352,Shopkeeper,32,0.13,0,0
49,105170,880,Freelancer,38,0.11,1,1
22,85128,887,Driver,72,0.46,0,0
42,94460,472,Shopkeeper,52,0.44,0,0
49,28373,838,Bank Employee,59,0.45,0,0
29,82367,801,Shopkeeper,33,0.27,1,1
41,28035,832,Teacher,19,0.08,0,0
52,92588,327,Business Owner,39,0.19,0,0
52,61765,892,Teacher,96,0.45,0,0
46,112338,757,Business Owner,48,0.24,1,1
33,30940,427,Business Owner,69,0.2,0,0
23,32063,855,Teacher,94,0.18,0,0
52,102414,712,Sales Executive,66,0.3,1,1
53,46901,879,Sales Executive,10,0.25,0,1
53,43147,707,Student,83,0.22,0,1
33,94027,451,Sales Executive,38,0.24,0,0
26,55873,502,IT Engineer,40,0.17,0,0
24,141470,558,Doctor,84,0.14,0,0
58,147636,438,Teacher,52,0.14,0,0
26,45711,817,Student,59,0.07,0,1
23,134332,351,IT Engineer,31,0.48,0,0
47,27393,332,Bank Employee,34,0.48,0,0
40,30473,595,Student,34,0.1,0,0
38,62415,599,Sales Executive,73,0.08,0,0
40,36469,559,Student,34,0.24,0,0
50,137596,655,Freelancer,59,0.39,0,1
30,74962,530,Freelancer,44,0.42,0,0
43,74722,540,Doctor,56,0.06,0,0
23,27608,356,Doctor,53,0.18,0,0
29,117334,634,Freelancer,90,0.29,1,0
39,55449,724,Doctor,63,0.11,1,1
56,147002,645,IT Engineer,82,0.49,0,0
47,33075,716,Sales Executive,20,0.16,0,0
48,90827,583,Bank Employee,21,0.29,0,0
28,74529,735,Bank Employee,33,0.1,1,1
28,149765,473,Doctor,36,0.2,0,0
38,76051,647,Shopkeeper,31,0.11,1,0
41,35272,487,Sales Executive,15,0.46,0,0
33,148499,723,Sales Executive,78,0.48,0,0
47,124710,397,Shopkeeper,70,0.29,0,0
36,41726,309,Doctor,66,0.21,0,0
29,83173,530,Teacher,60,0.2,0,0
47,26960,348,Business Owner,18,0.47,0,0
37,41844,634,Doctor,40,0.33,0,0
23,109187,471,Doctor,89,0.23,0,0
24,87226,799,Freelancer,46,0.4,0,0
21,120332,809,Bank Employee,92,0.29,1,1
34,53190,466,Sales Executive,33,0.15,0,0
28,141273,773,Teacher,21,0.16,1,1
27,117841,663,IT Engineer,20,0.17,1,1
50,135438,428,Driver,98,0.06,0,0
45,65976,385,Driver,32,0.17,0,0
59,42115,898,Teacher,43,0.33,0,1
36,71787,772,IT Engineer,24,0.39,0,1
31,146605,680,Teacher,66,0.1,1,1
45,116451,365,Student,52,0.49,0,0
53,83130,485,Business Owner,12,0.27,0,0
41,60030,445,IT Engineer,87,0.08,0,0
30,42959,870,Bank Employee,29,0.47,0,0
29,89891,818,Shopkeeper,66,0.17,1,1
21,79060,469,Bank Employee,58,0.19,0,0
54,133357,493,Doctor,35,0.26,0,0
51,30271,654,Sales Executive,53,0.2,0,0
41,64573,742,Teacher,46,0.13,1,1
44,121308,731,Driver,77,0.11,1,1
39,28796,376,Teacher,68,0.28,0,0
41,111349,623,Sales Executive,61,0.08,1,0
45,32064,450,Sales Executive,60,0.37,0,0
40,49720,445,Driver,63,0.2,0,0
46,92706,424,Shopkeeper,66,0.5,0,0
27,77338,632,Doctor,32,0.08,1,0
23,37286,563,Business Owner,56,0.07,0,0
28,115989,369,Doctor,98,0.16,0,0
50,58698,323,Business Owner,45,0.21,0,0
31,63096,679,Freelancer,86,0.42,0,0
28,80863,575,Doctor,60,0.42,0,0
57,95939,440,Business Owner,58,0.38,0,0
37,50281,417,Sales Executive,83,0.42,0,0
28,70601,485,Business Owner,60,0.38,0,0
50,126440,461,Teacher,86,0.44,0,0
36,85014,816,Bank Employee,76,0.26,1,1
24,76071,763,Teacher,28,0.17,1,1
41,129066,725,Freelancer,63,0.33,1,1
54,99170,405,Bank Employee,91,0.21,0,0
55,147679,458,Doctor,47,0.08,0,0
33,93629,418,Teacher,68,0.44,0,0
47,54097,515,Business Owner,29,0.43,0,0
28,101163,698,Sales Executive,22,0.27,1,1
49,122742,551,Teacher,11,0.26,0,0
36,74251,319,Driver,21,0.1,0,0
25,114830,669,IT Engineer,64,0.11,1,1
57,90141,711,Shopkeeper,80,0.41,0,0
30,141491,812,Driver,59,0.43,0,0
35,134860,870,Bank Employee,11,0.05,1,1
41,119959,774,Doctor,94,0.4,0,0
54,63440,650,Student,47,0.29,1,0
42,75233,779,Teacher,73,0.25,1,1
42,43494,639,Student,18,0.26,0,0
29,83694,558,Freelancer,84,0.37,0,0
46,87942,443,Business Owner,98,0.05,0,0
33,70956,602,Driver,36,0.08,1,0
38,115202,365,Student,14,0.43,0,0
21,120576,336,Student,90,0.5,0,0
43,126904,512,Freelancer,33,0.16,0,0
53,47427,686,Sales Executive,11,0.23,0,1
51,67870,616,Student,48,0.37,0,0
41,84290,647,Doctor,92,0.35,0,0
43,56156,772,Doctor,94,0.4,0,0
36,40129,823,Doctor,60,0.46,0,0
47,33880,677,Sales Executive,16,0.17,0,0
57,143876,702,IT Engineer,23,0.29,1,1
58,69347,823,Bank Employee,86,0.11,1,1
34,67522,411,IT Engineer,15,0.49,0,0
57,74744,450,Doctor,68,0.39,0,0
27,115748,533,Student,39,0.13,0,0
32,130509,782,Teacher,88,0.38,0,1
48,91895,436,Business Owner,97,0.41,0,0
23,141616,512,IT Engineer,84,0.11,0,0
42,57543,828,Student,41,0.27,1,1
41,118952,301,Bank Employee,21,0.42,0,0
49,61360,630,Bank Employee,48,0.21,1,0
40,141017,496,Student,30,0.07,0,0
23,77678,461,IT Engineer,34,0.2,0,0
47,32915,541,Shopkeeper,96,0.4,0,0
41,34124,549,Teacher,27,0.1,0,0
53,89231,784,Driver,64,0.19,1,1
50,99482,395,Business Owner,99,0.43,0,0
59,105748,693,Bank Employee,93,0.12,1,1
29,148387,786,Bank Employee,50,0.22,1,1
58,39846,376,Doctor,56,0.3,0,0
43,143917,430,Shopkeeper,22,0.13,0,0
43,92748,501,Shopkeeper,51,0.37,0,0
21,83493,430,Freelancer,12,0.4,0,0
41,77006,378,Student,42,0.34,0,0
52,89131,362,Teacher,53,0.44,0,0
46,57688,756,Bank Employee,11,0.11,1,1
53,124748,736,Business Owner,31,0.05,1,1
29,145009,315,Shopkeeper,77,0.17,0,0
37,74033,771,IT Engineer,49,0.43,0,0
26,106008,511,Driver,23,0.11,0,0
27,33034,457,Bank Employee,75,0.39,0,0
27,66494,568,Driver,25,0.47,0,0
57,108187,495,Sales Executive,85,0.3,0,0
25,92398,434,Doctor,66,0.45,0,0
53,126748,739,Bank Employee,48,0.16,1,1
30,83558,861,Student,47,0.38,0,1
37,75753,783,Freelancer,40,0.4,0,0
48,43725,512,Doctor,42,0.27,0,0
42,37947,329,Driver,87,0.32,0,0
41,43334,338,IT Engineer,21,0.09,0,0
52,94277,645,Freelancer,91,0.17,1,0
52,64087,638,IT Engineer,44,0.08,1,0
56,53376,825,Sales Executive,18,0.16,1,1
51,53681,738,Driver,35,0.45,0,0
26,107619,339,Teacher,21,0.06,0,0
41,96760,613,Freelancer,84,0.27,1,0
